index,t_solve_list,t_ground_list,ground_file_bytes_list
180,0.011s;0.412s;0.629s;-1,5.061s;20.145s;21.358s;-1,13361655;335092897;502914519;-1
181,0.01s;0.394s;0.658s;-1,4.825s;18.242s;23.018s;-1,13836548;343553738;515601407;-1
182,0.011s;0.481s;0.831s;-1,4.91s;19.224s;25.85s;-1,14242164;363870408;553517050;-1
183,0.012s;0.366s;0.636s;-1,4.128s;14.148s;23.887s;-1,12951772;326665467;490269747;-1
184,0.01s;0.397s;-1,5.521s;19.012s;-1,13954304;345763108;-1
185,0.011s;1.306s;-1,6.107s;25.287s;-1,14867458;488454529;-1
186,0.011s;1.629s;-1,5.371s;24.269s;-1,14361526;561829942;-1
187,0.01s;0.793s;-1,4.837s;20.84s;-1,13564140;383325598;-1
188,0.01s;0.353s;0.623s;0.846s;-1,4.572s;14.009s;18.724s;27.023s;-1,12974065;326189869;489561137;652935095;-1
189,0.011s;0.514s;1.081s;-1,4.354s;16.096s;26.832s;-1,13099782;361307291;558256373;-1
190,0.011s;0.949s;-1,4.789s;20.004s;-1,14447818;435467473;-1
191,0.01s;0.387s;0.619s;-1,4.018s;14.854s;20.948s;-1,13337370;331417280;497397172;-1
192,0.011s;0.914s;1.653s;-1,4.389s;19.563s;26.202s;-1,13640603;414465480;664226581;-1
193,0.011s;0.404s;0.711s;-1,4.755s;17.887s;27.42s;-1,14648851;363547454;512589241;-1
194,0.01s;0.453s;0.795s;-1,4.39s;20.136s;24.046s;-1,13637026;349488333;531641347;-1
195,0.01s;0.403s;0.67s;-1,4.152s;14.448s;25.206s;-1,13343878;344412499;516908021;-1
197,0.01s;0.368s;0.609s;-1,4.104s;13.899s;20.854s;-1,13043988;325651478;488775534;-1
198,0.01s;0.717s;-1,4.57s;18.97s;-1,13941720;393581281;-1
199,0.011s;0.534s;1.087s;-1,4.647s;18.184s;26.111s;-1,13540209;364736202;563806247;-1
200,0.01s;0.368s;0.605s;0.879s;-1,4.342s;15.489s;22.382s;26.957s;-1,12948878;325921059;489152577;652384895;-1
201,0.011s;0.748s;-1,5.148s;21.412s;-1,14143087;427169480;-1
202,0.01s;0.738s;-1,4.85s;19.041s;-1,14548128;409339370;-1
203,0.01s;0.568s;-1,5.279s;21.108s;-1,14343989;383939062;-1
204,0.01s;1.488s;-1,4.483s;20.697s;-1,13153263;490805657;-1
205,0.01s;0.452s;0.866s;-1,5.088s;18.193s;26.603s;-1,13738515;354441392;539119582;-1
206,0.011s;0.527s;1.057s;-1,4.302s;18.131s;26.846s;-1,13022635;357590690;552599477;-1
207,0.012s;0.376s;0.623s;-1,4.622s;15.133s;22.449s;-1,13340369;333620195;500701971;-1
208,0.011s;0.465s;-1,5.215s;21.103s;-1,14423689;382692190;-1
209,0.01s;0.389s;0.636s;-1,4.521s;15.471s;23.268s;-1,13659053;341000764;511776577;-1
210,0.013s;0.441s;0.793s;-1,4.354s;16.283s;23.44s;-1,13561036;349853356;532193134;-1
211,0.011s;0.479s;0.898s;-1,4.99s;19.797s;27.142s;-1,14856411;380576549;578975505;-1
212,0.011s;0.424s;0.755s;-1,4.277s;15.689s;25.214s;-1,13218719;347835592;529050658;-1
213,0.011s;0.684s;1.409s;-1,4.487s;16.674s;27.167s;-1,13440840;382589706;602027943;-1
214,0.01s;0.415s;0.683s;-1,5.268s;16.835s;26.565s;-1,14779596;369865564;555073357;-1
215,0.01s;0.398s;0.636s;-1,4.266s;14.291s;22.578s;-1,13848377;343328365;515255301;-1
216,0.011s;0.849s;1.732s;-1,4.856s;21.536s;27.32s;-1,14318121;431890080;692339668;-1
217,0.01s;0.403s;0.675s;-1,4.615s;18.178s;21.801s;-1,14214293;357398130;504421763;-1
218,0.012s;0.677s;1.313s;-1,4.266s;15.703s;21.853s;-1,13738791;390402136;614320143;-1
219,0.01s;0.857s;1.538s;-1,3.822s;15.684s;22.456s;-1,13047770;397359671;636891086;-1
220,0.01s;0.387s;0.637s;0.904s;-1,4.151s;13.361s;20.327s;26.5s;-1,14097469;351961724;528191970;704424887;-1
221,0.01s;0.544s;1.107s;-1,3.987s;15.495s;23.306s;-1,13902195;379267113;586179226;-1
222,0.01s;0.394s;0.715s;1.119s;-1,3.514s;12.95s;18.363s;24.454s;-1,12788819;334039962;508183858;682328314;-1
223,0.01s;0.472s;0.865s;-1,4.332s;16.223s;23.486s;-1,14586008;381172665;579791257;-1
224,0.01s;0.411s;0.668s;0.924s;-1,4.292s;13.445s;19.316s;25.338s;-1,14252753;359319250;539278766;719238282;-1
225,0.01s;0.454s;0.825s;-1,4.172s;15.157s;20.641s;-1,13973700;362631867;551640991;-1
226,0.01s;0.409s;0.72s;1.123s;-1,3.753s;13.673s;18.875s;25.841s;-1,12863609;334378807;508660967;682947089;-1
227,0.01s;1.451s;-1,3.645s;17.546s;-1,12991473;502338081;-1
228,0.011s;0.42s;0.765s;1.179s;-1,3.966s;14.335s;20.438s;27.468s;-1,13531336;353567506;537866435;722233596;-1
229,0.011s;0.708s;1.352s;-1,4.022s;15.511s;22.399s;-1,13673990;392796725;618000590;-1
230,0.011s;0.856s;1.555s;-1,3.693s;14.814s;21.826s;-1,13061903;402545623;644885692;-1
231,0.011s;0.719s;1.383s;-1,3.97s;15.809s;23.362s;-1,13879922;411150742;646064460;-1
232,0.011s;0.408s;0.679s;-1,4.332s;13.751s;19.582s;-1,14607204;368803884;553516835;-1
233,0.01s;0.366s;0.592s;-1,3.769s;11.369s;16.916s;-1,13053916;328037635;492355244;-1
234,0.01s;0.445s;0.804s;1.236s;-1,3.977s;14.379s;20.388s;27.188s;-1,13846446;357502892;543842903;730182914;-1
235,0.011s;1.876s;-1,4.207s;20.641s;-1,14262703;603757688;-1
236,0.011s;0.865s;1.578s;-1,3.772s;15.177s;21.946s;-1,13279932;407530526;653042033;-1
237,0.01s;0.395s;0.659s;0.923s;-1,4.129s;12.696s;18.237s;24.33s;-1,14049282;350908821;526663093;702417365;-1
238,0.012s;0.405s;0.685s;-1,4.396s;13.617s;19.519s;-1,14659944;366627346;550243136;-1
239,0.011s;0.438s;0.793s;1.224s;-1,3.911s;13.937s;19.635s;26.529s;-1,13547129;350607669;533347993;716089018;-1
240,0.012s;0.403s;0.675s;0.97s;-1,4.535s;13.903s;20.266s;26.738s;-1,14869847;373992714;561321671;748652796;-1
241,0.011s;0.708s;1.376s;-1,4.284s;16.045s;23.058s;-1,14154390;404209441;636069333;-1
